value_date,domestic_aviation,total_ets_emissions,ground_transport,total_co2_emissions,power,industry,country,frequency,super_region
2016-01-31,82223.25205479452,2309526.8976261145,,,1593513.1761790067,633790.4693923134,Rest of Europe,monthly,EU
2016-02-29,82223.25205479452,2114662.711609309,,,1389508.7349798023,642930.7245747121,Rest of Europe,monthly,EU
2016-03-31,82223.25205479452,2096917.0947041907,,,1353112.5593011517,661581.2833482445,Rest of Europe,monthly,EU
2016-04-30,82223.25205479452,2013697.4174434082,,,1217608.0491197263,713866.1162688874,Rest of Europe,monthly,EU
2016-05-31,82223.25205479452,1905518.1871226379,,,1145321.5378402243,677973.3972276191,Rest of Europe,monthly,EU
2016-06-30,82223.25205479452,1947116.2669777807,,,1256680.5308908601,608212.4840321261,Rest of Europe,monthly,EU
2016-07-31,82223.25205479452,2074691.2557273542,,,1284791.7750453441,707676.2286272156,Rest of Europe,monthly,EU
2016-08-31,82223.25205479452,2128274.310378207,,,1275197.0899831504,770853.9683402622,Rest of Europe,monthly,EU
2016-09-30,82223.25205479452,2202245.8234894597,,,1371745.454527862,748277.1169068033,Rest of Europe,monthly,EU
2016-10-31,82223.25205479452,2374962.2526229923,,,1521688.6773942725,771050.3231739249,Rest of Europe,monthly,EU
2016-11-30,82223.25205479452,2372005.6837450457,,,1602215.2671305872,687567.1645596639,Rest of Europe,monthly,EU
2016-12-31,82223.25205479452,2407871.451598866,,,1607499.7304209638,718148.4691231078,Rest of Europe,monthly,EU
2017-01-31,88413.28219178083,2535316.466912833,,,1721147.8259810563,725755.3587399959,Rest of Europe,monthly,EU
2017-02-28,88413.28219178083,2364231.6224450115,,,1622808.5706744937,653009.7695787372,Rest of Europe,monthly,EU
2017-03-31,88413.28219178083,2168271.2045986224,,,1396590.4412917583,683267.4811150834,Rest of Europe,monthly,EU
2017-04-30,88413.28219178083,2091261.953646229,,,1284037.944368921,718810.7270855273,Rest of Europe,monthly,EU
2017-05-31,88413.28219178083,2013518.0498486515,,,1242400.1676860382,682704.5999708325,Rest of Europe,monthly,EU
2017-06-30,88413.28219178083,1995733.2879563672,,,1228323.7567200619,678996.2490445243,Rest of Europe,monthly,EU
2017-07-31,88413.28219178083,2087771.1066654641,,,1293263.3829069943,706094.4415666892,Rest of Europe,monthly,EU
2017-08-31,88413.28219178083,2160798.457849403,,,1283614.870782338,788770.3048752836,Rest of Europe,monthly,EU
2017-09-30,88413.28219178083,2121763.7789131543,,,1299106.7938073268,734243.7029140464,Rest of Europe,monthly,EU
2017-10-31,88413.28219178083,2178679.839361325,,,1353104.8709108557,737161.6862586885,Rest of Europe,monthly,EU
2017-11-30,88413.28219178083,2349271.1026394404,,,1505082.1281346777,755775.6923129818,Rest of Europe,monthly,EU
2017-12-31,88413.28219178083,2248328.1883573006,,,1417654.8401810476,742260.0659844724,Rest of Europe,monthly,EU
2018-01-31,93746.86849315069,2138777.2683722517,,,1456179.6840381236,588850.7158409772,Rest of Europe,monthly,EU
2018-02-28,93746.86849315069,2328133.108186885,,,1592748.3638174883,641637.8758762456,Rest of Europe,monthly,EU
2018-03-31,93746.86849315069,2204058.081317664,,,1432838.4706300609,677472.7421944526,Rest of Europe,monthly,EU
2018-04-30,93746.86849315069,1906993.7680112894,,,1090543.5948427166,722703.304675422,Rest of Europe,monthly,EU
2018-05-31,93746.86849315069,1921476.6357490388,,,1096422.1991134363,731307.5681424518,Rest of Europe,monthly,EU
2018-06-30,93746.86849315069,1963140.052238621,,,1174518.3482447215,694874.8355007488,Rest of Europe,monthly,EU
2018-07-31,93746.86849315069,2120687.123891468,,,1301414.5208066565,725525.734591661,Rest of Europe,monthly,EU
2018-08-31,93746.86849315069,2133471.6857056897,,,1293657.153994246,746067.663218293,Rest of Europe,monthly,EU
2018-09-30,93746.86849315069,2112479.562611078,,,1302655.817471513,716076.8766464144,Rest of Europe,monthly,EU
2018-10-31,93746.86849315069,2211822.604335877,,,1366087.9564252356,751987.7794174902,Rest of Europe,monthly,EU
2018-11-30,93746.86849315069,2345287.9646745143,,,1474142.8868604582,777398.2093209053,Rest of Europe,monthly,EU
2018-12-31,93746.86849315069,2303767.842968531,,,1479912.2295578106,730108.7449175697,Rest of Europe,monthly,EU
2019-01-31,66782.55033007135,2239212.277466669,,,1579572.9595029939,592856.7676336039,Rest of Europe,monthly,EU
2019-02-28,67451.76260039746,2174783.9539340325,,,1406392.442009832,700939.7493238028,Rest of Europe,monthly,EU
2019-03-31,72721.38063106997,1978336.1515485488,,,1209958.3863853558,695656.384532123,Rest of Europe,monthly,EU
2019-04-30,90659.09747048549,1958418.011907775,,,1109264.8869855588,758494.0274517307,Rest of Europe,monthly,EU
2019-05-31,95118.47150909953,1867876.1108909962,,,1043803.0484307448,728954.5909511517,Rest of Europe,monthly,EU
2019-06-30,124821.69632519729,1888011.5658982338,,,1044237.2715466742,718952.5980263624,Rest of Europe,monthly,EU
2019-07-31,137626.64849586482,1925554.02420974,,,1108695.2790795886,679232.0966342867,Rest of Europe,monthly,EU
2019-08-31,139529.4831257351,1926613.3751280974,,,1085425.3411078376,701658.5508945247,Rest of Europe,monthly,EU
2019-09-30,130683.26174163386,1984959.2664108828,,,1109786.2838260317,744489.7208432171,Rest of Europe,monthly,EU
2019-10-31,118444.1138323062,2072574.2107605652,,,1246768.6649577797,707361.4319704793,Rest of Europe,monthly,EU
2019-11-30,88786.92764470358,2081633.57275312,,,1300404.4473721136,692442.1977363026,Rest of Europe,monthly,EU
2019-12-31,84764.23809994503,1964739.8258812353,,,1229532.544142582,650443.0436387085,Rest of Europe,monthly,EU
2020-01-31,80128.45509589413,2004886.0080497803,,,1278383.4778780495,646374.0750758367,Rest of Europe,monthly,EU
2020-02-29,83770.3734101124,1866934.3761273106,925933.9936354456,2792868.3697627564,1158002.4064100462,625161.596307152,Rest of Europe,monthly,EU
2020-03-31,53020.42630313959,1769419.2684074393,920088.1252003207,2689507.39360776,1056390.9960256494,660007.8460786506,Rest of Europe,monthly,EU
2020-04-30,5010.293668194441,1538794.4661742947,924960.3315624685,2463754.797736763,847487.7731942593,686296.3993118409,Rest of Europe,monthly,EU
2020-05-31,3663.8697181081116,1411443.553897236,1016558.4152962131,2428001.9691934492,811729.288312709,596050.3958664191,Rest of Europe,monthly,EU
2020-06-30,7257.900039968412,1515964.4281336074,1193870.5199670775,2709834.948100685,899479.8783903177,609226.6497033213,Rest of Europe,monthly,EU
2020-07-31,27901.418693328178,1619497.777302061,1233627.202758817,2853124.980060878,1000338.8657617675,591257.4928469654,Rest of Europe,monthly,EU
2020-08-31,49532.838034821456,1722692.685684298,1208025.1712959998,2930717.8569802977,1058521.7059914866,614638.1416579897,Rest of Europe,monthly,EU
2020-09-30,44904.6268429253,1829736.9271799831,1271698.2464324452,3101435.1736124284,1091105.2735103834,693727.0268266744,Rest of Europe,monthly,EU
